Record.ID,s,word,accuracy,cognate,diff,subject,L2AoA,Language
BUBA061,spa,pyramid,0,1,5,subject4,6,0
BUBA061,spa,muzzle,0,0,5,subject4,6,0
BUBA061,spa,unicorn,1,1,5,subject4,6,0
BUBA061,spa,funnel,0,0,5,subject4,6,0
BUBA061,spa,accordion,1,1,5,subject4,6,0
BUBA061,spa,noose,0,0,5,subject4,6,0
BUBA061,spa,asparagus,1,1,5,subject4,6,0
BUBA061,spa,compass,0,1,5,subject4,6,0
BUBA061,spa,latch,0,0,6,subject4,6,0
BUBA061,spa,tripod,0,1,6,subject4,6,0
BUBA061,spa,scroll,0,0,6,subject4,6,0
BUBA061,spa,tongs,0,0,6,subject4,6,0
BUBA061,spa,sphinx,0,1,6,subject4,6,0
BUBA061,spa,yoke,0,0,6,subject4,6,0
BUBA061,spa,trellis,0,0,6,subject4,6,0
BUBA061,spa,protractor,0,0,6,subject4,6,0
BUBA061,spa,abacus,1,1,6,subject4,6,0
BUBA066,spa,comb,0,0,1,subject5,5,0
BUBA066,spa,flower,0,1,1,subject5,5,0
BUBA066,spa,helicopter,0,1,2,subject5,5,0
BUBA066,spa,broom,0,0,2,subject5,5,0
BUBA066,spa,octopus,0,0,2,subject5,5,0
BUBA066,spa,mushroom,0,0,2,subject5,5,0
BUBA066,spa,hanger,0,0,2,subject5,5,0
BUBA066,spa,wheelchair,0,0,2,subject5,5,0
BUBA066,spa,camel,0,1,2,subject5,5,0
BUBA066,spa,mask,0,1,2,subject5,5,0
BUBA066,spa,racquet,0,1,3,subject5,5,0
BUBA066,spa,snail,0,0,3,subject5,5,0
BUBA066,spa,volcano,0,1,3,subject5,5,0
BUBA066,spa,seahorse,0,0,3,subject5,5,0
BUBA066,spa,dart,0,1,3,subject5,5,0
BUBA066,spa,canoe,0,1,3,subject5,5,0
BUBA066,spa,wreath,0,0,3,subject5,5,0
BUBA066,spa,beaver,0,0,3,subject5,5,0
BUBA066,spa,harmonica,0,1,3,subject5,5,0
BUBA066,spa,rhinoceros,0,1,4,subject5,5,0
BUBA066,spa,acorn,0,0,4,subject5,5,0
BUBA066,spa,igloo,0,1,4,subject5,5,0
BUBA066,spa,stilts,0,0,4,subject5,5,0
BUBA066,spa,dominos,1,1,4,subject5,5,0
BUBA066,spa,harp,0,1,4,subject5,5,0
BUBA066,spa,hammock,0,1,4,subject5,5,0
BUBA066,spa,knocker,0,0,4,subject5,5,0
BUBA066,spa,pyramid,0,1,5,subject5,5,0
BUBA066,spa,muzzle,0,0,5,subject5,5,0
BUBA066,spa,unicorn,0,1,5,subject5,5,0
BUBA066,spa,funnel,0,0,5,subject5,5,0
BUBA066,spa,accordion,0,1,5,subject5,5,0
BUBA066,spa,noose,0,0,5,subject5,5,0
BUBA066,spa,asparagus,0,1,5,subject5,5,0
BUBA066,spa,compass,0,1,5,subject5,5,0
BUBA066,spa,latch,0,0,6,subject5,5,0
BUBA066,spa,tripod,0,1,6,subject5,5,0
BUBA066,spa,scroll,0,0,6,subject5,5,0
BUBA066,spa,tongs,0,0,6,subject5,5,0
BUBA066,spa,sphinx,0,1,6,subject5,5,0
BUBA066,spa,yoke,0,0,6,subject5,5,0
BUBA066,spa,trellis,0,0,6,subject5,5,0
BUBA066,spa,protractor,0,0,6,subject5,5,0
BUBA066,spa,abacus,0,1,6,subject5,5,0
BUBA072,spa,comb,0,0,1,subject6,27,0
BUBA072,spa,flower,1,1,1,subject6,27,0
BUBA072,spa,helicopter,1,1,2,subject6,27,0
BUBA072,spa,broom,1,0,2,subject6,27,0
BUBA072,spa,octopus,1,0,2,subject6,27,0
BUBA072,spa,mushroom,1,0,2,subject6,27,0
BUBA072,spa,hanger,1,0,2,subject6,27,0
BUBA072,spa,wheelchair,1,0,2,subject6,27,0
BUBA072,spa,camel,1,1,2,subject6,27,0
BUBA072,spa,mask,1,1,2,subject6,27,0
BUBA072,spa,racquet,1,1,3,subject6,27,0
BUBA072,spa,snail,0,0,3,subject6,27,0
BUBA072,spa,volcano,1,1,3,subject6,27,0
BUBA072,spa,seahorse,1,0,3,subject6,27,0
BUBA072,spa,dart,0,1,3,subject6,27,0
BUBA072,spa,canoe,1,1,3,subject6,27,0
BUBA072,spa,wreath,0,0,3,subject6,27,0
BUBA072,spa,beaver,1,0,3,subject6,27,0
