Record.ID,e,word,accuracy,cognate,diff
BUBA078,eng,funnel,0,0,5
BUBA078,eng,accordion,0,1,5
BUBA078,eng,noose,0,0,5
BUBA078,eng,asparagus,0,1,5
BUBA078,eng,compass,0,1,5
BUBA078,eng,latch,0,0,6
BUBA078,eng,tripod,0,1,6
BUBA078,eng,scroll,0,0,6
BUBA078,eng,tongs,0,0,6
BUBA078,eng,sphinx,0,1,6
BUBA078,eng,yoke,0,0,6
BUBA078,eng,trellis,0,0,6
BUBA078,eng,protractor,0,0,6
BUBA078,eng,abacus,0,1,6
BUBA079,eng,comb,1,0,1
BUBA079,eng,flower,1,1,1
BUBA079,eng,helicopter,1,1,2
BUBA079,eng,broom,1,0,2
BUBA079,eng,octopus,0,0,2
BUBA079,eng,mushroom,1,0,2
BUBA079,eng,hanger,1,0,2
BUBA079,eng,wheelchair,0,0,2
BUBA079,eng,camel,1,1,2
BUBA079,eng,mask,0,1,2
BUBA079,eng,racquet,0,1,3
BUBA079,eng,snail,1,0,3
BUBA079,eng,volcano,1,1,3
BUBA079,eng,seahorse,1,0,3
BUBA079,eng,dart,0,1,3
BUBA079,eng,canoe,1,1,3
BUBA079,eng,wreath,0,0,3
BUBA079,eng,beaver,1,0,3
BUBA079,eng,harmonica,1,1,3
BUBA079,eng,rhinoceros,0,1,4
BUBA079,eng,acorn,0,0,4
BUBA079,eng,igloo,0,1,4
BUBA079,eng,stilts,0,0,4
BUBA079,eng,dominos,1,1,4
BUBA079,eng,harp,1,1,4
BUBA079,eng,hammock,0,1,4
BUBA079,eng,knocker,0,0,4
BUBA079,eng,pyramid,1,1,5
BUBA079,eng,muzzle,0,0,5
BUBA079,eng,unicorn,0,1,5
BUBA079,eng,funnel,0,0,5
BUBA079,eng,accordion,1,1,5
BUBA079,eng,noose,0,0,5
BUBA079,eng,asparagus,1,1,5
BUBA079,eng,compass,1,1,5
BUBA079,eng,latch,0,0,6
BUBA079,eng,tripod,0,1,6
BUBA079,eng,scroll,0,0,6
BUBA079,eng,tongs,0,0,6
BUBA079,eng,sphinx,1,1,6
BUBA079,eng,yoke,0,0,6
BUBA079,eng,trellis,0,0,6
BUBA079,eng,protractor,0,0,6
BUBA079,eng,abacus,0,1,6
BUBA080,eng,comb,1,0,1
BUBA080,eng,flower,1,1,1
BUBA080,eng,helicopter,0,1,2
BUBA080,eng,broom,1,0,2
BUBA080,eng,octopus,1,0,2
BUBA080,eng,mushroom,1,0,2
BUBA080,eng,hanger,1,0,2
BUBA080,eng,wheelchair,1,0,2
BUBA080,eng,camel,1,1,2
BUBA080,eng,mask,1,1,2
BUBA080,eng,racquet,0,1,3
BUBA080,eng,snail,1,0,3
BUBA080,eng,volcano,1,1,3
BUBA080,eng,seahorse,0,0,3
BUBA080,eng,dart,0,1,3
BUBA080,eng,canoe,1,1,3
BUBA080,eng,wreath,0,0,3
BUBA080,eng,beaver,0,0,3
BUBA080,eng,harmonica,1,1,3
BUBA080,eng,rhinoceros,0,1,4
BUBA080,eng,acorn,0,0,4
BUBA080,eng,igloo,1,1,4
BUBA080,eng,stilts,0,0,4
BUBA080,eng,dominos,1,1,4
BUBA080,eng,harp,0,1,4
BUBA080,eng,hammock,1,1,4
BUBA080,eng,knocker,0,0,4
BUBA080,eng,pyramid,0,1,5
BUBA080,eng,muzzle,0,0,5
BUBA080,eng,unicorn,0,1,5
BUBA080,eng,funnel,0,0,5
BUBA080,eng,accordion,0,1,5
BUBA080,eng,noose,0,0,5
BUBA080,eng,asparagus,0,1,5
BUBA080,eng,compass,0,1,5
BUBA080,eng,latch,0,0,6
BUBA080,eng,tripod,0,1,6
BUBA080,eng,scroll,0,0,6
BUBA080,eng,tongs,0,0,6
BUBA080,eng,sphinx,0,1,6
BUBA080,eng,yoke,0,0,6
BUBA080,eng,trellis,0,0,6
BUBA080,eng,protractor,0,0,6
BUBA080,eng,abacus,0,1,6
BUBA083,eng,comb,0,0,1
BUBA083,eng,flower,1,1,1
BUBA083,eng,helicopter,0,1,2
BUBA083,eng,broom,0,0,2
BUBA083,eng,octopus,0,0,2
BUBA083,eng,mushroom,0,0,2
BUBA083,eng,hanger,0,0,2
BUBA083,eng,wheelchair,0,0,2
BUBA083,eng,camel,0,1,2
BUBA083,eng,mask,0,1,2
BUBA083,eng,racquet,0,1,3
BUBA083,eng,snail,0,0,3
BUBA083,eng,volcano,0,1,3
BUBA083,eng,seahorse,0,0,3
BUBA083,eng,dart,0,1,3
BUBA083,eng,canoe,0,1,3
BUBA083,eng,wreath,0,0,3
BUBA083,eng,beaver,0,0,3
BUBA083,eng,harmonica,0,1,3
BUBA083,eng,rhinoceros,0,1,4
BUBA083,eng,acorn,0,0,4
