Record.ID,e,s,word,eng-acc,spa-acc,cognate,diff,subject
BUBA066,eng,spa,igloo,0,0,1,4,subject5
BUBA066,eng,spa,stilts,0,0,0,4,subject5
BUBA066,eng,spa,dominos,0,1,1,4,subject5
BUBA066,eng,spa,harp,0,0,1,4,subject5
BUBA066,eng,spa,hammock,1,0,1,4,subject5
BUBA066,eng,spa,knocker,0,0,0,4,subject5
BUBA066,eng,spa,pyramid,0,0,1,5,subject5
BUBA066,eng,spa,muzzle,0,0,0,5,subject5
BUBA066,eng,spa,unicorn,0,0,1,5,subject5
BUBA066,eng,spa,funnel,0,0,0,5,subject5
BUBA066,eng,spa,accordion,0,0,1,5,subject5
BUBA066,eng,spa,noose,0,0,0,5,subject5
BUBA066,eng,spa,asparagus,0,0,1,5,subject5
BUBA066,eng,spa,compass,0,0,1,5,subject5
BUBA066,eng,spa,latch,0,0,0,6,subject5
BUBA066,eng,spa,tripod,0,0,1,6,subject5
BUBA066,eng,spa,scroll,0,0,0,6,subject5
BUBA066,eng,spa,tongs,0,0,0,6,subject5
BUBA066,eng,spa,sphinx,0,0,1,6,subject5
BUBA066,eng,spa,yoke,0,0,0,6,subject5
BUBA066,eng,spa,trellis,0,0,0,6,subject5
BUBA066,eng,spa,protractor,0,0,0,6,subject5
BUBA066,eng,spa,abacus,0,0,1,6,subject5
BUBA072,eng,spa,comb,1,0,0,1,subject6
BUBA072,eng,spa,flower,1,1,1,1,subject6
BUBA072,eng,spa,helicopter,0,1,1,2,subject6
BUBA072,eng,spa,broom,1,1,0,2,subject6
BUBA072,eng,spa,octopus,1,1,0,2,subject6
BUBA072,eng,spa,mushroom,0,1,0,2,subject6
BUBA072,eng,spa,hanger,1,1,0,2,subject6
BUBA072,eng,spa,wheelchair,1,1,0,2,subject6
BUBA072,eng,spa,camel,1,1,1,2,subject6
BUBA072,eng,spa,mask,1,1,1,2,subject6
BUBA072,eng,spa,racquet,1,1,1,3,subject6
BUBA072,eng,spa,snail,0,0,0,3,subject6
BUBA072,eng,spa,volcano,0,1,1,3,subject6
BUBA072,eng,spa,seahorse,1,1,0,3,subject6
BUBA072,eng,spa,dart,0,0,1,3,subject6
BUBA072,eng,spa,canoe,1,1,1,3,subject6
BUBA072,eng,spa,wreath,0,0,0,3,subject6
BUBA072,eng,spa,beaver,0,1,0,3,subject6
BUBA072,eng,spa,harmonica,0,1,1,3,subject6
BUBA072,eng,spa,rhinoceros,0,1,1,4,subject6
BUBA072,eng,spa,acorn,0,0,0,4,subject6
BUBA072,eng,spa,igloo,1,1,1,4,subject6
BUBA072,eng,spa,stilts,0,0,0,4,subject6
BUBA072,eng,spa,dominos,0,0,1,4,subject6
BUBA072,eng,spa,harp,1,1,1,4,subject6
BUBA072,eng,spa,hammock,0,0,1,4,subject6
BUBA072,eng,spa,knocker,0,0,0,4,subject6
BUBA072,eng,spa,pyramid,1,0,1,5,subject6
BUBA072,eng,spa,muzzle,0,0,0,5,subject6
BUBA072,eng,spa,unicorn,0,0,1,5,subject6
BUBA072,eng,spa,funnel,0,1,0,5,subject6
BUBA072,eng,spa,accordion,0,1,1,5,subject6
BUBA072,eng,spa,noose,0,0,0,5,subject6
BUBA072,eng,spa,asparagus,0,0,1,5,subject6
BUBA072,eng,spa,compass,0,1,1,5,subject6
BUBA072,eng,spa,latch,0,0,0,6,subject6
BUBA072,eng,spa,tripod,0,1,1,6,subject6
BUBA072,eng,spa,scroll,0,0,0,6,subject6
BUBA072,eng,spa,tongs,0,0,0,6,subject6
BUBA072,eng,spa,sphinx,0,0,1,6,subject6
BUBA072,eng,spa,yoke,0,0,0,6,subject6
BUBA072,eng,spa,trellis,0,0,0,6,subject6
BUBA072,eng,spa,protractor,0,0,0,6,subject6
BUBA072,eng,spa,abacus,0,0,1,6,subject6
BUBA076,eng,spa,comb,1,1,0,1,subject7
BUBA076,eng,spa,flower,1,1,1,1,subject7
BUBA076,eng,spa,helicopter,0,1,1,2,subject7
BUBA076,eng,spa,broom,0,1,0,2,subject7
BUBA076,eng,spa,octopus,0,1,0,2,subject7
BUBA076,eng,spa,mushroom,0,1,0,2,subject7
BUBA076,eng,spa,hanger,0,1,0,2,subject7
BUBA076,eng,spa,wheelchair,0,1,0,2,subject7
BUBA076,eng,spa,camel,0,1,1,2,subject7
BUBA076,eng,spa,mask,0,1,1,2,subject7
BUBA076,eng,spa,racquet,0,1,1,3,subject7
BUBA076,eng,spa,snail,1,1,0,3,subject7
BUBA076,eng,spa,volcano,0,1,1,3,subject7
BUBA076,eng,spa,seahorse,0,1,0,3,subject7
BUBA076,eng,spa,dart,0,0,1,3,subject7
BUBA076,eng,spa,canoe,0,0,1,3,subject7
BUBA076,eng,spa,wreath,0,0,0,3,subject7
BUBA076,eng,spa,beaver,0,1,0,3,subject7
BUBA076,eng,spa,harmonica,0,1,1,3,subject7
BUBA076,eng,spa,rhinoceros,0,0,1,4,subject7
BUBA076,eng,spa,acorn,0,0,0,4,subject7
BUBA076,eng,spa,igloo,1,1,1,4,subject7
BUBA076,eng,spa,stilts,0,0,0,4,subject7
BUBA076,eng,spa,dominos,0,1,1,4,subject7
BUBA076,eng,spa,harp,0,0,1,4,subject7
BUBA076,eng,spa,hammock,0,1,1,4,subject7
BUBA076,eng,spa,knocker,0,0,0,4,subject7
BUBA076,eng,spa,pyramid,0,1,1,5,subject7
BUBA076,eng,spa,muzzle,0,0,0,5,subject7
BUBA076,eng,spa,unicorn,0,1,1,5,subject7
BUBA076,eng,spa,funnel,0,0,0,5,subject7
BUBA076,eng,spa,accordion,0,0,1,5,subject7
BUBA076,eng,spa,noose,0,1,0,5,subject7
BUBA076,eng,spa,asparagus,0,1,1,5,subject7
BUBA076,eng,spa,compass,0,1,1,5,subject7
BUBA076,eng,spa,latch,0,1,0,6,subject7
BUBA076,eng,spa,tripod,0,0,1,6,subject7
BUBA076,eng,spa,scroll,0,0,0,6,subject7
BUBA076,eng,spa,tongs,0,0,0,6,subject7
BUBA076,eng,spa,sphinx,0,0,1,6,subject7
BUBA076,eng,spa,yoke,0,0,0,6,subject7
BUBA076,eng,spa,trellis,0,0,0,6,subject7
BUBA076,eng,spa,protractor,0,1,0,6,subject7
BUBA076,eng,spa,abacus,0,0,1,6,subject7
BUBA078,eng,spa,comb,0,1,0,1,subject8
BUBA078,eng,spa,flower,1,1,1,1,subject8
BUBA078,eng,spa,helicopter,0,0,1,2,subject8
BUBA078,eng,spa,broom,0,1,0,2,subject8
BUBA078,eng,spa,octopus,0,1,0,2,subject8
BUBA078,eng,spa,mushroom,0,1,0,2,subject8
BUBA078,eng,spa,hanger,0,0,0,2,subject8
BUBA078,eng,spa,wheelchair,0,0,0,2,subject8
BUBA078,eng,spa,camel,0,0,1,2,subject8
BUBA078,eng,spa,mask,0,0,1,2,subject8
BUBA078,eng,spa,racquet,1,0,1,3,subject8
BUBA078,eng,spa,snail,0,0,0,3,subject8
BUBA078,eng,spa,volcano,0,1,1,3,subject8
BUBA078,eng,spa,seahorse,0,0,0,3,subject8
BUBA078,eng,spa,dart,0,1,1,3,subject8
BUBA078,eng,spa,canoe,0,0,1,3,subject8
BUBA078,eng,spa,wreath,0,0,0,3,subject8
BUBA078,eng,spa,beaver,0,0,0,3,subject8
BUBA078,eng,spa,harmonica,0,0,1,3,subject8
BUBA078,eng,spa,rhinoceros,0,0,1,4,subject8
BUBA078,eng,spa,acorn,0,0,0,4,subject8
BUBA078,eng,spa,igloo,0,0,1,4,subject8
BUBA078,eng,spa,stilts,0,0,0,4,subject8
BUBA078,eng,spa,dominos,0,0,1,4,subject8
BUBA078,eng,spa,harp,0,0,1,4,subject8
BUBA078,eng,spa,hammock,0,0,1,4,subject8
BUBA078,eng,spa,knocker,0,0,0,4,subject8
BUBA078,eng,spa,pyramid,0,0,1,5,subject8
BUBA078,eng,spa,muzzle,0,0,0,5,subject8
BUBA078,eng,spa,unicorn,0,0,1,5,subject8
BUBA078,eng,spa,funnel,0,0,0,5,subject8
BUBA078,eng,spa,accordion,0,0,1,5,subject8
BUBA078,eng,spa,noose,0,0,0,5,subject8
BUBA078,eng,spa,asparagus,0,0,1,5,subject8
BUBA078,eng,spa,compass,0,0,1,5,subject8
BUBA078,eng,spa,latch,0,0,0,6,subject8
BUBA078,eng,spa,tripod,0,0,1,6,subject8
BUBA078,eng,spa,scroll,0,0,0,6,subject8
BUBA078,eng,spa,tongs,0,0,0,6,subject8
BUBA078,eng,spa,sphinx,0,1,1,6,subject8
BUBA078,eng,spa,yoke,0,0,0,6,subject8
BUBA078,eng,spa,trellis,0,0,0,6,subject8
BUBA078,eng,spa,protractor,0,0,0,6,subject8
BUBA078,eng,spa,abacus,0,0,1,6,subject8
BUBA079,eng,spa,comb,1,1,0,1,subject9
BUBA079,eng,spa,flower,1,0,1,1,subject9
BUBA079,eng,spa,helicopter,1,1,1,2,subject9
BUBA079,eng,spa,broom,1,1,0,2,subject9
BUBA079,eng,spa,octopus,0,1,0,2,subject9
BUBA079,eng,spa,mushroom,1,1,0,2,subject9
